make,model,year,part_category,query,min_price_tnd,median_price_tnd,max_price_tnd,confidence,sources_json,created_at,expires_at
Peugeot,208,2018,phare,"phare OR optique OR ""feu avant"" Peugeot 208 2018 prix Tunisie",900.0,900.0,900.0,low,"[{""title"": ""Optiques et phares avant pour Peugeot 208 I 1.2 68ch ..."", ""domain"": ""www.piecesautos.tn"", ""relevance"": 1.0}, {""title"": ""Pi\u00e8ces d\u00e9tach\u00e9es pour PEUGEOT 208 (CA_, CC_)"", ""domain"": ""autopart.tn"", ""relevance"": 1.0}, {""title"": ""Optiques et phares avant pour Peugeot 208 I 1.2 PureTech ..."", ""domain"": ""www.piecesautos.tn"", ""relevance"": 1.0}, {""title"": ""feux-led-peugeot-208-tunisie -"", ""domain"": ""www.sayarti.tn"", ""relevance"": 0.8999999999999999}, {""title"": ""A vendre 2 phares Peugeot 208 d origine prix 900d les ..."", ""domain"": ""www.facebook.com"", ""relevance"": 0.6}]",2026-06-06T15:40:15.903591,2026-07-06T15:40:15.903591
Renault,Symbol,2017,phare,"phare OR optique OR ""feu avant"" Renault Symbol 2017 prix Tunisie",0.0,0.0,0.0,low,"[{""title"": ""Optiques et phares avant pour Renault SYMBOL II 1.6 ..."", ""domain"": ""www.piecesautos.tn"", ""relevance"": 1.0}, {""title"": ""Phares VALEO RENAULT SYMBOL / THALIA"", ""domain"": ""www.piecesauto24.com"", ""relevance"": 0.3}, {""title"": ""***2 Phares avant Renault Symbol 1 origines***"", ""domain"": ""www.facebook.com"", ""relevance"": 0.0}, {""title"": ""Optique Tunisie | Karhabtk.tn \u2013 Pi\u00e8ces Auto Tunisie (2)"", ""domain"": ""www.karhabtk.tn"", ""relevance"": 1.0}, {""title"": ""Phare avant RENAULT Symbol / Thalia II 1.2 16V 75 CV ..."", ""domain"": ""www.auto-doc.fr"", ""relevance"": 0.0}]",2026-06-06T15:40:16.128983,2026-06-13T15:40:16.128983
Peugeot,208,2018,pneu,pneu OR pneumatique Peugeot 208 2018 prix Tunisie,300.0,300.0,300.0,low,"[{""title"": ""Peugeot - 208 (C) 2012 - 2015"", ""domain"": ""www.auto-plus.tn"", ""relevance"": 0.8999999999999999}, {""title"": ""Pneu Tunisie Pour Voiture au Meilleur Prix"", ""domain"": ""spacenet.tn"", ""relevance"": 0.8999999999999999}, {""title"": ""Pneu Peugeot"", ""domain"": ""www.auto-plus.tn"", ""relevance"": 0.3}, {""title"": ""Amine"", ""domain"": ""lepneumatique.tn"", ""relevance"": 0.3}, {""title"": ""Achat de pneus pour votre PEUGEOT 208"", ""domain"": ""www.allopneus.com"", ""relevance"": 0.0}]",2026-06-06T15:40:16.309808,2026-07-06T15:40:16.309808
